,bpd,committee_size,extension,latency,minerblocksize
392,67.0,8.0,syncorazor,5.0,10.0
393,36.0,8.0,syncorazor,5.0,10.0
394,131.0,8.0,syncorazor,5.0,10.0
395,38.0,8.0,syncorazor,5.0,10.0
396,61.0,8.0,syncorazor,5.0,10.0
397,102.0,8.0,syncorazor,5.0,10.0
398,116.0,8.0,syncorazor,5.0,10.0
399,69.0,8.0,syncorazor,5.0,10.0
400,36.0,8.0,syncorazor,5.0,10.0
401,132.0,8.0,syncorazor,5.0,10.0
402,38.0,8.0,syncorazor,5.0,10.0
403,61.0,8.0,syncorazor,5.0,10.0
404,102.0,8.0,syncorazor,5.0,10.0
405,116.0,8.0,syncorazor,5.0,10.0
406,66.0,8.0,syncorazor,5.0,10.0
407,35.0,8.0,syncorazor,5.0,10.0
408,131.0,8.0,syncorazor,5.0,10.0
409,38.0,8.0,syncorazor,5.0,10.0
410,62.0,8.0,syncorazor,5.0,10.0
411,102.0,8.0,syncorazor,5.0,10.0
412,116.0,8.0,syncorazor,5.0,10.0
413,67.0,8.0,syncorazor,5.0,10.0
414,35.0,8.0,syncorazor,5.0,10.0
415,130.0,8.0,syncorazor,5.0,10.0
416,38.0,8.0,syncorazor,5.0,10.0
417,62.0,8.0,syncorazor,5.0,10.0
418,101.0,8.0,syncorazor,5.0,10.0
419,116.0,8.0,syncorazor,5.0,10.0
420,67.0,8.0,syncorazor,5.0,10.0
421,35.0,8.0,syncorazor,5.0,10.0
422,130.0,8.0,syncorazor,5.0,10.0
423,38.0,8.0,syncorazor,5.0,10.0
424,62.0,8.0,syncorazor,5.0,10.0
425,103.0,8.0,syncorazor,5.0,10.0
426,116.0,8.0,syncorazor,5.0,10.0
427,67.0,8.0,syncorazor,5.0,10.0
428,35.0,8.0,syncorazor,5.0,10.0
429,131.0,8.0,syncorazor,5.0,10.0
430,37.0,8.0,syncorazor,5.0,10.0
431,62.0,8.0,syncorazor,5.0,10.0
432,102.0,8.0,syncorazor,5.0,10.0
433,116.0,8.0,syncorazor,5.0,10.0
434,66.0,8.0,syncorazor,5.0,10.0
435,35.0,8.0,syncorazor,5.0,10.0
436,130.0,8.0,syncorazor,5.0,10.0
437,38.0,8.0,syncorazor,5.0,10.0
438,61.0,8.0,syncorazor,5.0,10.0
439,102.0,8.0,syncorazor,5.0,10.0
440,116.0,8.0,syncorazor,5.0,10.0
441,67.0,8.0,syncorazor,5.0,10.0
442,35.0,8.0,syncorazor,5.0,10.0
443,130.0,8.0,syncorazor,5.0,10.0
444,38.0,8.0,syncorazor,5.0,10.0
445,62.0,8.0,syncorazor,5.0,10.0
446,101.0,8.0,syncorazor,5.0,10.0
447,116.0,8.0,syncorazor,5.0,10.0
448,68.0,8.0,syncorazor,5.0,10.0
449,36.0,8.0,syncorazor,5.0,10.0
450,130.0,8.0,syncorazor,5.0,10.0
451,38.0,8.0,syncorazor,5.0,10.0
452,61.0,8.0,syncorazor,5.0,10.0
453,102.0,8.0,syncorazor,5.0,10.0
454,116.0,8.0,syncorazor,5.0,10.0
455,71.0,8.0,syncorazor,5.0,10.0
456,36.0,8.0,syncorazor,5.0,10.0
457,129.0,8.0,syncorazor,5.0,10.0
458,38.0,8.0,syncorazor,5.0,10.0
459,62.0,8.0,syncorazor,5.0,10.0
460,102.0,8.0,syncorazor,5.0,10.0
461,116.0,8.0,syncorazor,5.0,10.0
462,67.0,8.0,syncorazor,5.0,10.0
463,35.0,8.0,syncorazor,5.0,10.0
464,130.0,8.0,syncorazor,5.0,10.0
465,38.0,8.0,syncorazor,5.0,10.0
466,61.0,8.0,syncorazor,5.0,10.0
467,102.0,8.0,syncorazor,5.0,10.0
468,115.0,8.0,syncorazor,5.0,10.0
469,72.0,8.0,syncorazor,5.0,10.0
470,35.0,8.0,syncorazor,5.0,10.0
471,128.0,8.0,syncorazor,5.0,10.0
472,37.0,8.0,syncorazor,5.0,10.0
473,61.0,8.0,syncorazor,5.0,10.0
474,102.0,8.0,syncorazor,5.0,10.0
475,115.0,8.0,syncorazor,5.0,10.0
476,67.0,8.0,syncorazor,5.0,10.0
477,35.0,8.0,syncorazor,5.0,10.0
478,130.0,8.0,syncorazor,5.0,10.0
479,37.0,8.0,syncorazor,5.0,10.0
480,62.0,8.0,syncorazor,5.0,10.0
481,102.0,8.0,syncorazor,5.0,10.0
482,116.0,8.0,syncorazor,5.0,10.0
483,67.0,8.0,syncorazor,5.0,10.0
484,35.0,8.0,syncorazor,5.0,10.0
485,131.0,8.0,syncorazor,5.0,10.0
486,37.0,8.0,syncorazor,5.0,10.0
487,62.0,8.0,syncorazor,5.0,10.0
488,102.0,8.0,syncorazor,5.0,10.0
489,117.0,8.0,syncorazor,5.0,10.0
490,70.0,8.0,syncorazor,5.0,10.0
491,35.0,8.0,syncorazor,5.0,10.0
492,131.0,8.0,syncorazor,5.0,10.0
493,38.0,8.0,syncorazor,5.0,10.0
494,62.0,8.0,syncorazor,5.0,10.0
495,102.0,8.0,syncorazor,5.0,10.0
496,116.0,8.0,syncorazor,5.0,10.0
497,67.0,8.0,syncorazor,5.0,10.0
498,36.0,8.0,syncorazor,5.0,10.0
499,129.0,8.0,syncorazor,5.0,10.0
500,38.0,8.0,syncorazor,5.0,10.0
501,61.0,8.0,syncorazor,5.0,10.0
502,104.0,8.0,syncorazor,5.0,10.0
503,120.0,8.0,syncorazor,5.0,10.0
504,73.0,8.0,syncorazor,5.0,10.0
505,40.0,8.0,syncorazor,5.0,10.0
506,135.0,8.0,syncorazor,5.0,10.0
507,42.0,8.0,syncorazor,5.0,10.0
508,67.0,8.0,syncorazor,5.0,10.0
509,106.0,8.0,syncorazor,5.0,10.0
510,117.0,8.0,syncorazor,5.0,10.0
511,67.0,8.0,syncorazor,5.0,10.0
512,35.0,8.0,syncorazor,5.0,10.0
513,130.0,8.0,syncorazor,5.0,10.0
514,38.0,8.0,syncorazor,5.0,10.0
515,62.0,8.0,syncorazor,5.0,10.0
516,101.0,8.0,syncorazor,5.0,10.0
517,116.0,8.0,syncorazor,5.0,10.0
518,67.0,8.0,syncorazor,5.0,10.0
519,36.0,8.0,syncorazor,5.0,10.0
520,130.0,8.0,syncorazor,5.0,10.0
521,38.0,8.0,syncorazor,5.0,10.0
522,62.0,8.0,syncorazor,5.0,10.0
523,102.0,8.0,syncorazor,5.0,10.0
524,116.0,8.0,syncorazor,5.0,10.0
525,68.0,8.0,syncorazor,5.0,10.0
526,36.0,8.0,syncorazor,5.0,10.0
527,131.0,8.0,syncorazor,5.0,10.0
528,38.0,8.0,syncorazor,5.0,10.0
529,62.0,8.0,syncorazor,5.0,10.0
530,102.0,8.0,syncorazor,5.0,10.0
531,117.0,8.0,syncorazor,5.0,10.0
532,67.0,8.0,syncorazor,5.0,10.0
533,36.0,8.0,syncorazor,5.0,10.0
534,129.0,8.0,syncorazor,5.0,10.0
535,38.0,8.0,syncorazor,5.0,10.0
536,62.0,8.0,syncorazor,5.0,10.0
537,103.0,8.0,syncorazor,5.0,10.0
538,116.0,8.0,syncorazor,5.0,10.0
539,68.0,8.0,syncorazor,5.0,10.0
540,36.0,8.0,syncorazor,5.0,10.0
